Period;EventID;EventDate;Seq;MaxExp;Loss
81283;110128808;04/03/2011 00:00;1;8.017897472E9;2.004474368E9
96042;110110496;07/05/2011 00:00;1;3.127897088E9;2.004474368E9
96448;110110473;01/01/2011 00:00;1;2.411168768E9;2.004474368E9
28193;110110664;11/10/2011 00:00;1;1.459325312E9;1.3541256E9
94861;110139134;07/04/2011 00:00;1;1.459325312E9;9.639163392E8
28193;110117470;09/11/2011 00:00;1;1.458325248E9;7.03776832E8
94861;110076192;28/02/2011 00:00;1;6.12549184E8;6.124700114285715E8
20423;110076191;26/03/2011 00:00;1;6.06409024E8;5.43989896E8
80679;110083635;12/09/2011 00:00;1;5.42064704E8;4.90727584E8
6703;110076001;24/11/2011 00:00;1;4.4185968E8;3.8783336959999996E8
6809;110120544;17/02/2011 00:00;1;4.0339568E8;3.036471941818181E8
6809;110098160;21/06/2011 00:00;1;4.0339568E8;2.33492048E8
46703;110125255;25/09/2011 00:00;1;3.6820064E8;2.33492048E8
76845;110124664;15/01/2011 00:00;1;3.13016128E8;2.33492048E8
71897;110124407;22/01/2011 00:00;1;3.0438992E8;2.33492048E8
71897;110080035;08/03/2011 00:00;1;3.03390848E8;2.33427032E8
83318;110075981;11/07/2011 00:00;1;3.006336E8;2.3336966494117647E8
96448;110072636;12/10/2011 00:00;1;2.84493152E8;2.33318672E8
71897;110132468;24/06/2011 00:00;1;2.82851776E8;1.817159482105263E8
92244;110106672;04/09/2011 00:00;1;2.43535008E8;1.3527349679999995E8
76845;110076432;30/03/2011 00:00;1;2.3857536E8;9.3254136E7
46703;110117876;03/08/2011 00:00;1;2.25104544E8;9.290180727272727E7
61298;110098633;07/11/2011 00:00;1;2.23276032E8;9.258011582608695E7
81283;110141773;17/01/2011 00:00;1;2.2023328E8;9.2285232E7
20423;110125509;11/12/2011 00:00;1;2.07480784E8;8.864499264E7
46703;110124645;08/09/2011 00:00;1;1.9356016E8;8.52847716923077E7
61298;110135973;22/10/2011 00:00;1;1.71056304E8;8.2173456E7
86703;110114028;24/08/2011 00:00;1;1.70724016E8;7.660337885714285E7
20423;110080253;05/05/2011 00:00;1;1.657088E8;7.141744496551724E7
6703;110095276;04/09/2011 00:00;1;1.57218048E8;6.657724E7
80679;110127458;18/09/2011 00:00;1;1.4189936E8;6.4470290064516135E7
83318;110132434;26/04/2011 00:00;1;1.28404952E8;6.24950245E7
6703;110072865;26/04/2011 00:00;1;1.18490088E8;6.0639472000000015E7
76845;110095254;12/12/2011 00:00;1;1.02608336E8;6.0639472E7
76845;110132653;23/07/2011 00:00;1;8.700272E7;6.0639472E7
93093;110117689;07/01/2011 00:00;1;8.4185824E7;6.0639472E7
92244;110095247;04/11/2011 00:00;1;8.2677208E7;5.873888043243242E7
81283;110109859;04/04/2011 00:00;1;7.6835248E7;5.693832E7
81283;110102645;24/10/2011 00:00;1;7.0216784E7;5.5230095999999985E7
6703;110121129;14/02/2011 00:00;1;6.706916E7;5.13380988E7
13148;110124614;28/08/2011 00:00;1;6.4334596E7;4.7635955121951215E7
96042;110117474;17/02/2011 00:00;1;6.1983528E7;4.4110104E7
13148;110145223;26/07/2011 00:00;1;5.9906312E7;4.3535341674418606E7
61298;110090826;13/12/2011 00:00;1;5.1660036E7;4.298670490909091E7
13148;110109835;03/07/2011 00:00;1;4.8704556E7;4.2462452E7
6809;110131388;01/09/2011 00:00;1;4.679552E7;4.239662660869565E7
6809;110117220;04/11/2011 00:00;1;4.357646E7;4.233360229787234E7
71897;110083403;11/09/2011 00:00;1;4.113226E7;4.2273204E7
93093;110131220;21/05/2011 00:00;1;3.7047816E7;4.20925946122449E7
6703;110123601;09/02/2011 00:00;1;3.567406E7;4.19192096E7
96042;110094533;31/03/2011 00:00;1;2.9012016E7;4.1752624E7
80679;110134686;12/09/2011 00:00;1;2.7589536E7;4.071513584615385E7
96448;110117034;01/06/2011 00:00;1;2.5617544E7;3.971679818867925E7
92244;110095204;30/09/2011 00:00;1;2.5416264E7;3.8755436E7
46703;110137927;18/10/2011 00:00;1;2.5159396E7;3.86518024E7
83318;110110259;13/06/2011 00:00;1;2.119845E7;3.855187E7
93093;110144719;08/05/2011 00:00;1;2.00256E7;3.8455444E7
71897;110106046;07/08/2011 00:00;1;1.9897544E7;3.606893020689654E7
83318;110110241;30/06/2011 00:00;1;1.5975435E7;3.376331518644066E7
76845;110099291;18/10/2011 00:00;1;1.4581395E7;3.1534554E7
76845;110137918;03/10/2011 00:00;1;1.4265535E7;3.124643881967213E7
28193;110127451;11/06/2011 00:00;1;1.408071E7;3.0967617677419357E7
83318;110123768;18/05/2011 00:00;1;1.25545E7;3.0697648E7
81283;110091459;25/01/2011 00:00;1;1.176067E7;2.9930308625000004E7
61298;110086879;22/11/2011 00:00;1;1.151651E7;2.9186579692307696E7
92244;110083224;09/10/2011 00:00;1;1.1332425E7;2.846538800000001E7
83318;110102185;26/06/2011 00:00;1;1.048797E7;2.8362952179104477E7
92244;110105792;27/04/2011 00:00;1;9016450.0;2.826352917647059E7
6809;110109576;08/10/2011 00:00;1;8683025.0;2.8166988E7
96448;110098169;22/06/2011 00:00;1;8458940.0;2.7997576114285715E7
96448;110148955;08/07/2011 00:00;1;7759330.0;2.7832936394366197E7
80679;110083183;27/12/2011 00:00;1;7310270.0;2.767287E7
20423;110127773;25/07/2011 00:00;1;6369700.0;2.6975008356164377E7
80679;110120487;25/10/2011 00:00;1;6327175.0;2.6296007837837834E7
94861;110112613;21/03/2011 00:00;1;6108755.0;2.5635114E7
28193;110112606;12/01/2011 00:00;1;5865595.0;2.489503152631579E7
6809;110098137;19/12/2011 00:00;1;5852840.0;2.417417197402598E7
80679;110076357;04/11/2011 00:00;1;5656055.0;2.347179599999999E7
61298;110095471;01/09/2011 00:00;1;4831240.0;2.232265344303797E7
28193;110160372;10/10/2011 00:00;1;4097495.0;2.1202239449999996E7
71897;110148583;20/01/2011 00:00;1;3751055.0;2.010949E7
6703;110090386;09/06/2011 00:00;1;3195175.0;2.009296385365854E7
94861;110098110;27/11/2011 00:00;1;2852560.0;2.0076835927710842E7
28193;110109359;27/03/2011 00:00;1;2751095.0;2.0061091999999996E7
93093;110131558;06/07/2011 00:00;1;1503410.0;1.9813375364705883E7
92244;110105420;08/02/2011 00:00;1;1274315.0;1.9571419581395347E7
20423;110152837;17/08/2011 00:00;1;1258280.0;1.9335026E7
80679;110099257;02/05/2011 00:00;1;1177525.0;1.892240327272727E7
13148;110094311;29/09/2011 00:00;1;1140925.0;1.8519052966292135E7
13148;110094309;09/10/2011 00:00;1;1130465.0;1.8124665999999993E7
81283;110103116;16/05/2011 00:00;1;865130.0;1.740121797802198E7
96042;110116976;08/04/2011 00:00;1;681655.0;1.6693497086956521E7
13148;110127432;29/12/2011 00:00;1;549755.0;1.6000996E7
94861;110103392;18/09/2011 00:00;1;444635.0;1.538591923404254E7
61298;110101751;03/06/2011 00:00;1;309325.0;1.4783791452631572E7
93093;110105544;06/05/2011 00:00;1;290700.0;1.4194208E7
20423;110105362;21/11/2011 00:00;1;211085.0;1.3755572000000004E7
96448;110105539;10/09/2011 00:00;1;91045.0;1.3325887755102042E7
