Period;EventID;EventDate;Seq;MaxExp;Loss
14150;3194050;27/11/2013 05:02;1;2.2553861125E10;2.2553861125E10
14150;3199006;01/08/2013 22:24;1;1.8424721875E10;1.8424721875E10
14150;3200846;19/09/2013 00:40;1;1.838728325E10;1.838728325E10
14150;3198031;03/04/2013 16:11;1;1.6378176E10;1.6378176E10
14150;3196068;05/07/2013 00:35;1;1.202857E10;1.202857E10
14150;3166634;01/02/2013 06:24;1;1.1052575E10;1.1052575E10
14150;3200952;08/08/2013 03:19;1;9.7629184E9;9.7629184E9
4047;3174572;07/01/2013 06:18;1;2.3091622375E10;1.2379168601527174E10
3422;3176571;07/03/2013 02:25;1;1.52656374E10;1.22890432893502E10
25144;3164989;23/12/2013 07:14;1;2.30487875E10;1.221985265316452E10
13020;3174572;01/01/2013 05:23;1;2.3091622375E10;1.191878706753006E10
9761;3173169;03/01/2013 07:57;1;2.46093375E10;1.1569515068292114E10
3422;3178141;26/04/2013 04:06;1;2.0080270125E10;1.2132164858944353E10
3422;3198052;04/08/2013 10:30;1;2.2448314875E10;1.2108729439994713E10
25144;3196069;01/09/2013 21:03;1;1.06088096E10;1.06088096E10
25144;3199046;25/08/2013 08:13;1;2.2448314875E10;1.2060046384814507E10
25144;3200059;22/09/2013 00:19;1;1.04327725E10;1.04327725E10
3422;3200951;08/04/2013 19:34;1;1.186281625E10;1.186281625E10
4047;3200907;12/08/2013 18:15;1;9.68235375E9;9.68235375E9
4047;3200848;12/11/2013 04:07;1;1.191177375E10;1.191177375E10
25144;3199040;02/02/2013 03:32;1;2.2481497625E10;1.1996631198961325E10
3422;3200868;14/07/2013 06:43;1;1.21411225E10;1.1997943823141869E10
3422;3194050;10/04/2013 05:14;1;2.2553861125E10;1.1989514482729155E10
3422;3199025;16/06/2013 07:17;1;2.263019775E10;1.1981787587350828E10
4047;3200938;07/07/2013 23:33;1;7.6315782375E9;7.6315782375E9
25144;3200848;06/08/2013 08:34;1;1.191177375E10;1.191177375E10
3422;3200854;17/07/2013 22:18;1;8.68972375E9;8.68972375E9
13020;3198030;20/07/2013 20:22;1;1.3150935E10;1.168863976900553E10
25144;3200050;15/09/2013 17:33;1;1.417418875E10;1.1940650896966793E10
9761;3181986;13/12/2013 16:54;1;2.312291075E10;1.1366600451484886E10
25144;3200111;02/07/2013 02:25;1;1.00226225E10;1.00226225E10
25144;3172689;28/02/2013 00:18;1;1.9503708125E10;1.1926874494522827E10
3422;3200180;29/03/2013 01:58;1;7.497079675E9;7.497079675E9
25144;3200864;07/06/2013 20:14;1;8.7987325E9;8.7987325E9
13635;3174035;16/02/2013 10:03;1;1.635479805E10;1.090578378586588E10
13020;3164981;23/04/2013 06:40;1;1.3703145E10;1.1655546693400696E10
13020;3198041;12/06/2013 03:22;1;2.2554432E10;1.165241626732997E10
13020;3170617;22/12/2013 18:03;1;2.272941825E10;1.1649450600526121E10
13020;3200848;14/06/2013 12:43;1;1.191177375E10;1.1646637019199394E10
9761;3172547;11/11/2013 09:32;1;2.3074854375E10;1.1332781348683681E10
13020;3200894;29/08/2013 13:44;1;9.1898982375E9;9.1898982375E9
9761;3199014;10/06/2013 00:55;1;2.268155E10;1.132795004828351E10
13020;3199053;21/08/2013 14:19;1;1.18630975E10;1.1636691336370035E10
9761;3193084;06/07/2013 19:28;1;2.2882455E10;1.1323557957010628E10
13635;3200026;23/10/2013 08:21;1;7.587342075E9;7.587342075E9
13020;3200950;15/08/2013 12:47;1;7.74379E9;7.74379E9
9761;3200874;26/07/2013 18:23;1;7.164024325E9;7.164024325E9
9761;3200123;06/02/2013 11:11;1;7.099646725E9;7.099646725E9
13635;3176533;19/02/2013 20:08;1;2.122688E10;1.087394382444518E10
13635;3199025;23/06/2013 18:52;1;2.263019775E10;1.0872351826374147E10
13635;3200192;25/11/2013 20:30;1;6.628775E9;6.628775E9
3422;3200142;31/08/2013 09:41;1;6.5995525E9;6.5995525E9
14150;3181647;19/11/2013 07:33;1;6.59225125E9;6.59225125E9
13020;3200132;21/07/2013 17:28;1;6.4797125E9;6.4797125E9
13635;3200232;03/08/2013 20:01;1;6.4006275E9;6.4006275E9
25144;3195078;19/01/2013 17:24;1;6.3991E9;6.3991E9
3422;3200917;26/07/2013 19:28;1;5.62451375E9;5.62451375E9
14150;3200389;21/08/2013 20:40;1;5.6130681625E9;5.6130681625E9
14150;3200086;03/10/2013 03:58;1;5.5756006375E9;5.5756006375E9
13020;3200053;21/10/2013 19:07;1;5.54773625E9;5.54773625E9
13020;3200406;06/07/2013 02:25;1;5.4896704E9;5.4896704E9
9761;3200034;02/09/2013 23:11;1;5.4341984E9;5.4341984E9
9761;3199986;06/08/2013 13:13;1;5.2794169625E9;5.2794169625E9
4047;3200073;22/03/2013 23:45;1;5.19706E9;5.19706E9
9761;3200002;12/08/2013 21:27;1;5.143214075E9;5.143214075E9
13020;3200083;07/05/2013 20:06;1;5.109537925E9;5.109537925E9
13020;3181783;09/05/2013 14:48;1;4.90451875E9;4.90451875E9
9761;3200962;07/08/2013 05:29;1;4.7135975E9;4.7135975E9
25144;3200876;04/11/2013 15:31;1;4.551793275E9;4.551793275E9
