Period;EventID;EventDate;Seq;MaxExp;Loss
3244;2672224;2009/12/05 22:10:48;1;759279.50;759279.50
19480;2672224;2009/09/05 03:48:21;1;25699.21;25699.21
29120;2672221;2009/10/13 03:13:55;1;599303.94;599303.94
30823;2672359;2009/04/21 10:40:56;1;1870131.68;1870131.68
48645;2672221;2009/06/15 12:42:46;1;1793028.82;1793028.82
52775;2672222;2009/06/17 21:04:49;1;8673721.27;8673721.27
69237;2672220;2009/09/25 01:29:49;1;256289.67;256289.67
71809;2672893;2009/06/01 02:52:24;1;1573434.03;1573434.03
79192;2672222;2009/07/05 04:59:59;1;4935077.02;4935077.02
81850;2672893;2009/08/30 20:16:17;1;2499836.70;2499836.70
