LOSSFILE	
FileFormatVersion	YLT_1.1
LossTableHeaderFormat	Manual Import
LossTableHeaderProducer	MAT-R
LossTableType	YLT
LossTableBasis	AM
CreateDate	2018-08-07
Model	Elements
ModelProvider	IF
ModelSystem	Elements
ModelSystemVersion	10.0.0.0
ModelSystemInstance	PRD
ResultsDatabaseName	IF_RES_2018_THFL
User	U000886
Simulation_Set_Id	7511
Peril	FL
Region	Thailand
Model_Version	10.0.0.0
ModelModule	DLM
Geo_Code	THA
SourceResultsReference	42
ResultsName	FPG_QS_SPL - FPG_QS_SPL
ResultsDescription	NA
Run_Date	2018-06-27
Run_Date	2018-06-27
Currency	THB
FinPerspective	GU
Years	100000
SimulationPeriodBasis	1
OccurrenceBasis	PerEvent
OEP2	0
OEP5	8169385
OEP10	131946097
OEP25	565116148
OEP50	1855095265
OEP100	2171342391
OEP200	2356876878
OEP250	2391373373
OEP500	2520814472
OEP1000	2683327326
OEP5000	2969410750
OEP10000	3104076686
AAL	86965188.90267
STD	352523451.318785
COV	4.05361565664306
#[HEADER-END]
EventID	Year	MM-DD(n)	Value
751100001	11260	08-09(0)	531802556
751100001	14146	07-28(0)	531802556
751100001	33105	08-22(0)	531802556
751100001	43839	08-22(0)	531802556
751100001	68109	06-16(0)	531802556
751100001	69400	09-14(0)	531802556
751100001	74131	10-05(0)	531802556
751100001	79489	08-14(0)	531802556
751100001	80225	05-17(0)	531802556
751100001	86552	09-15(0)	531802556
751100001	95106	06-07(0)	531802556
751100001	98100	09-02(0)	531802556
751100002	5682	05-30(0)	206926662
751100002	61991	08-27(0)	206926662
751100002	65819	05-17(0)	206926662
751100002	76016	09-28(0)	206926662
751100002	77067	06-08(0)	206926662
751100002	79861	07-02(0)	206926662
751100002	90364	06-25(0)	206926662
751100007	30640	09-09(0)	47836563
751100007	31105	09-02(0)	47836563
751100007	44729	09-12(0)	47836563
751100007	98514	06-27(0)	47836563
751100008	35235	08-06(0)	44966718
751100008	53320	07-25(0)	44966718
751100008	72578	09-27(0)	44966718
751100008	89356	09-27(0)	44966718
751100008	96686	09-16(0)	44966718
751100008	99271	09-06(0)	44966718
751100010	7580	09-16(0)	54924352
751100010	11573	09-11(0)	54924352
751100010	34948	05-25(0)	54924352
751100010	42149	05-15(0)	54924352
751100010	70751	05-25(0)	54924352
751100010	81883	09-02(0)	54924352
751100011	6460	07-12(0)	15677808
751100011	30843	06-25(0)	15677808
751100011	59265	08-31(0)	15677808
751100011	68787	08-17(0)	15677808
751100011	73382	08-22(0)	15677808
751100011	85320	09-06(0)	15677808
751100011	85855	08-03(0)	15677808
751100011	91719	05-18(0)	15677808
751100012	9008	05-16(0)	203246716
751100012	31670	09-22(0)	203246716
751100012	37661	08-24(0)	203246716
751100012	38649	09-22(0)	203246716
751100012	42731	08-15(0)	203246716
751100012	52873	07-07(0)	203246716
751100013	3117	06-12(0)	2725445
751100013	3498	05-27(0)	2725445
751100013	12742	08-10(0)	2725445
751100013	13304	08-22(0)	2725445
751100013	61444	07-30(0)	2725445
751100013	84816	05-22(0)	2725445
751100018	3637	06-10(0)	26799408
751100018	36215	08-10(0)	26799408
751100018	56806	10-06(0)	26799408
751100018	66179	05-27(0)	26799408
751100018	86459	09-01(0)	26799408
751100018	90463	10-14(0)	26799408
751100023	33944	07-29(0)	62169097
751100023	46979	10-09(0)	62169097
