Period;EventID;EventDate;Seq;MaxExp;Loss
3372;3200180;23/01/2013 16:19;1;2.99883187E7;2514.18
3372;3194042;30/01/2013 19:41;1;424351.65;2.88
3372;3199977;03/02/2013 04:37;1;1.590114E7;296722.22
3372;3171518;04/02/2013 00:22;1;2.277657E7;15.42
3372;3182483;04/02/2013 12:47;1;545818.36;114.28
3372;3165965;06/03/2013 23:14;1;8.90664E7;165653.54
3372;3178337;05/04/2013 03:42;1;418806.28;2.32
3372;3200411;11/04/2013 05:28;1;61665.12;0.04
3372;3179857;13/04/2013 20:38;1;9.24474E7;540093.12
3372;3200939;22/04/2013 16:35;1;2.13834125E7;43.5
3372;3171966;01/05/2013 16:58;1;801058.96;3529.78
3372;3196999;10/05/2013 07:24;1;396150.4;0.84
3372;3175466;22/05/2013 05:55;1;36732.69;0.1
3372;3200618;25/05/2013 20:20;1;21621.99;37.64
3372;3200212;23/06/2013 21:39;1;1.3537685E7;57508.64
3372;3200514;24/06/2013 12:46;1;93596.35;0.04
3372;3194877;04/07/2013 01:41;1;1074943.76;77.52
3372;3200101;12/07/2013 21:15;1;269346.58;69.36
3372;3200825;16/07/2013 18:43;1;1397557.5;1298.48
3372;3197054;25/07/2013 06:02;1;3.3387775E7;936681.2
3372;3200826;26/07/2013 03:03;1;1174011.68;0.62
3372;3200832;29/07/2013 02:03;1;1263231.44;2630.36
3372;3192051;19/08/2013 13:50;1;972446.24;2104.78
3372;3199993;30/08/2013 20:06;1;3.78066867E7;6164.18
3372;3200804;12/09/2013 07:24;1;768810.72;0.34
3372;3193564;21/09/2013 14:51;1;1482949.12;17.12
3372;3200730;28/09/2013 01:21;1;166779.7;0.08
3372;3164909;03/10/2013 22:50;1;9.19975115E7;1.4582969E7
3372;3200325;22/11/2013 08:44;1;1.351924865E7;4552.7
3372;3162637;30/12/2013 19:00;1;462537.1;7003.12
3422;3176571;07/03/2013 02:25;1;6.10625496E7;4.1379872E7
3422;3200180;29/03/2013 01:58;1;2.99883187E7;5474.3
3422;3200951;08/04/2013 19:34;1;4.7451265E7;128018.16
3422;3194050;10/04/2013 05:14;1;9.02154445E7;18620.24
3422;3200035;22/04/2013 17:06;1;1.755502335E7;8.86
3422;3200315;25/04/2013 08:24;1;3243508.16;6599.04
3422;3178141;26/04/2013 04:06;1;8.03210805E7;434838.68
3422;3193199;15/05/2013 00:18;1;235303.32;0.12
3422;3196076;28/05/2013 19:31;1;166779.7;0.08
3422;3199025;16/06/2013 07:17;1;9.0520791E7;14079.6
3422;3200871;22/06/2013 17:25;1;1.7126505E7;1130.78
3422;3200314;28/06/2013 03:09;1;166779.7;0.08
3422;3200902;28/06/2013 05:13;1;1.732155775E7;15.84
