Period;EventID;EventDate;Seq;MaxExp;Loss
14150;3194050;27/11/2013 05:02;1;2.2553861125E10;1.7905597945025303E10
14150;3199006;01/08/2013 22:24;1;1.8424721875E10;1.7905597945025303E10
14150;3200846;19/09/2013 00:40;1;1.838728325E10;1.7905597945025303E10
14150;3198031;03/04/2013 16:11;1;1.6378176E10;1.6378176E10
14150;3196068;05/07/2013 00:35;1;1.202857E10;1.202857E10
14150;3166634;01/02/2013 06:24;1;1.1052575E10;1.0573630083333334E10
14150;3200952;08/08/2013 03:19;1;9.7629184E9;9.246878427428572E9
4047;3174572;07/01/2013 06:18;1;2.3091622375E10;7.6461819651187E9
3422;3176571;07/03/2013 02:25;1;1.52656374E10;7.590514693854355E9
25144;3164989;23/12/2013 07:14;1;2.30487875E10;7.547778043955851E9
13020;3174572;01/01/2013 05:23;1;2.3091622375E10;7.361820301130364E9
9761;3173169;03/01/2013 07:57;1;2.46093375E10;7.146087132978453E9
3422;3178141;26/04/2013 04:06;1;2.0080270125E10;7.493616342769829E9
3422;3198052;04/08/2013 10:30;1;2.2448314875E10;7.479141099440835E9
25144;3196069;01/09/2013 21:03;1;1.06088096E10;7.460038688606174E9
25144;3199046;25/08/2013 08:13;1;2.2448314875E10;7.449071269187466E9
25144;3200059;22/09/2013 00:19;1;1.04327725E10;7.439394134406252E9
3422;3200951;08/04/2013 19:34;1;1.186281625E10;7.437323729823744E9
4047;3200907;12/08/2013 18:15;1;9.68235375E9;7.439875520946207E9
4047;3200848;12/11/2013 04:07;1;1.191177375E10;7.432933071899461E9
25144;3199040;02/02/2013 03:32;1;2.2481497625E10;7.4099019141206455E9
3422;3200868;14/07/2013 06:43;1;1.21411225E10;7.410712676431049E9
3422;3194050;10/04/2013 05:14;1;2.2553861125E10;7.4055061659846525E9
3422;3199025;16/06/2013 07:17;1;2.263019775E10;7.400733531408789E9
4047;3200938;07/07/2013 23:33;1;7.6315782375E9;6.948861373550675E9
25144;3200848;06/08/2013 08:34;1;1.191177375E10;7.385797695617988E9
3422;3200854;17/07/2013 22:18;1;8.68972375E9;7.388536798603804E9
