Period;EventID;EventDate;Seq;MaxExp;Loss
14150;3194050;27/11/2013 05:02;1;9.02154445E7;9.02154445E7
14150;3199006;01/08/2013 22:24;1;7.36988875E7;9.02154445E7
14150;3200846;19/09/2013 00:40;1;7.3549133E7;66666.66666667163
14150;3198031;03/04/2013 16:11;1;6.5512704E7;7.36988875E7
4047;3174572;07/01/2013 06:18;1;9.23664895E7;40000.0
3422;3176571;07/03/2013 02:25;1;6.10625496E7;7.3549133E7
25144;3164989;23/12/2013 07:14;1;9.219515E7;28571.428571417928
3422;3178141;26/04/2013 04:06;1;8.03210805E7;6.5512704E7
3422;3198052;04/08/2013 10:30;1;8.97932595E7;22222.222222223878
25144;3199046;25/08/2013 08:13;1;8.97932595E7;4.95166744061087E7
14150;3196068;05/07/2013 00:35;1;4.811428E7;18181.818181820214
3422;3200868;14/07/2013 06:43;1;4.856449E7;4.91561731574008E7
25144;3199040;02/02/2013 03:32;1;8.99259905E7;15384.615384615958
3422;3194050;10/04/2013 05:14;1;9.02154445E7;4.887941061265808E7
3422;3199025;16/06/2013 07:17;1;9.0520791E7;13333.333333335817
25144;3200050;15/09/2013 17:33;1;5.6696755E7;4.852865943577741E7
25144;3172689;28/02/2013 00:18;1;7.80148325E7;11764.70588235557
13020;3174572;01/01/2013 05:23;1;9.23664895E7;4.843491775997885E7
4047;3200848;12/11/2013 04:07;1;4.7647095E7;10526.315789476037
25144;3200848;06/08/2013 08:34;1;4.7647095E7;4.8240185539258026E7
3422;3200951;08/04/2013 19:34;1;4.7451265E7;9523.809523805976
13020;3198030;20/07/2013 20:22;1;5.260374E7;4.811428E7
13020;3164981;23/04/2013 06:40;1;5.481258E7;8695.652173914015
13020;3198041;12/06/2013 03:22;1;9.0217728E7;4.799177529256748E7
13020;3170617;22/12/2013 18:03;1;9.0917673E7;8000.000000007451
13020;3200848;14/06/2013 12:43;1;4.7647095E7;4.79865247958453E7
13020;3199053;21/08/2013 14:19;1;4.745239E7;7407.407407410443
9761;3173169;03/01/2013 07:57;1;9.843735E7;4.7958057930916615E7
9761;3181986;13/12/2013 16:54;1;9.2491643E7;6896.551724135876
9761;3172547;11/11/2013 09:32;1;9.22994175E7;4.7927150349403314E7
