Period;EventID;EventDate;Seq;MaxExp;Loss
3372;3200180;23/01/2013 16:19;1;2.99883187E7;1257.09
3372;3194042;30/01/2013 19:41;1;424351.65;1.44
3372;3199977;03/02/2013 04:37;1;1.590114E7;148361.11
3372;3171518;04/02/2013 00:22;1;2.277657E7;7.71
3372;3182483;04/02/2013 12:47;1;545818.36;57.14
3372;3165965;06/03/2013 23:14;1;8.90664E7;82826.77
3372;3178337;05/04/2013 03:42;1;418806.28;1.16
3372;3200411;11/04/2013 05:28;1;61665.12;0.02
3372;3179857;13/04/2013 20:38;1;9.24474E7;270046.56
3372;3200939;22/04/2013 16:35;1;2.13834125E7;21.75
3372;3171966;01/05/2013 16:58;1;801058.96;1764.89
3372;3196999;10/05/2013 07:24;1;396150.4;0.42
3372;3175466;22/05/2013 05:55;1;36732.69;0.05
3372;3200618;25/05/2013 20:20;1;21621.99;18.82
3372;3200212;23/06/2013 21:39;1;1.3537685E7;28754.32
3372;3200514;24/06/2013 12:46;1;93596.35;0.02
3372;3194877;04/07/2013 01:41;1;1074943.76;38.76
3372;3200101;12/07/2013 21:15;1;269346.58;34.68
3372;3200825;16/07/2013 18:43;1;1397557.5;649.24
3372;3197054;25/07/2013 06:02;1;3.3387775E7;468340.6
3372;3200826;26/07/2013 03:03;1;1174011.68;0.31
3372;3200832;29/07/2013 02:03;1;1263231.44;1315.18
3372;3192051;19/08/2013 13:50;1;972446.24;1052.39
3372;3199993;30/08/2013 20:06;1;3.78066867E7;3082.09
3372;3200804;12/09/2013 07:24;1;768810.72;0.17
3372;3193564;21/09/2013 14:51;1;1482949.12;8.56
3372;3200730;28/09/2013 01:21;1;166779.7;0.04
3372;3164909;03/10/2013 22:50;1;9.19975115E7;7291484.5
3372;3200325;22/11/2013 08:44;1;1.351924865E7;2276.35
3372;3162637;30/12/2013 19:00;1;462537.1;3501.56
3422;3176571;07/03/2013 02:25;1;6.10625496E7;2.0689936E7
3422;3200180;29/03/2013 01:58;1;2.99883187E7;2737.15
3422;3200951;08/04/2013 19:34;1;4.7451265E7;64009.08
3422;3194050;10/04/2013 05:14;1;9.02154445E7;9310.12
3422;3200035;22/04/2013 17:06;1;1.755502335E7;4.43
3422;3200315;25/04/2013 08:24;1;3243508.16;3299.52
3422;3178141;26/04/2013 04:06;1;8.03210805E7;217419.34
3422;3193199;15/05/2013 00:18;1;235303.32;0.06
3422;3196076;28/05/2013 19:31;1;166779.7;0.04
3422;3199025;16/06/2013 07:17;1;9.0520791E7;7039.8
3422;3200871;22/06/2013 17:25;1;1.7126505E7;565.39
3422;3200314;28/06/2013 03:09;1;166779.7;0.04
3422;3200902;28/06/2013 05:13;1;1.732155775E7;7.92
3422;3197014;29/06/2013 04:51;1;259360.26;460.81
3422;3200640;04/07/2013 22:50;1;6656.51;0.05
3422;3200868;14/07/2013 06:43;1;4.856449E7;9600.83
3422;3200854;17/07/2013 22:18;1;3.4758895E7;2442.95
3422;3200795;20/07/2013 12:49;1;1012812.72;558.62
3422;3200917;26/07/2013 19:28;1;2.2498055E7;42031.75
3422;3198052;04/08/2013 10:30;1;8.97932595E7;185315.58
3422;3200142;31/08/2013 09:41;1;2.639821E7;1741.3
3422;3198958;09/09/2013 05:24;1;874713.12;101.14
4047;3174572;07/01/2013 06:18;1;9.23664895E7;2.0718494E7
4047;3177817;22/02/2013 18:35;1;9343132.15;151.66
4047;3191556;20/03/2013 08:22;1;1811069.92;179.69
4047;3200073;22/03/2013 23:45;1;2.078824E7;12067.02
4047;3200938;07/07/2013 23:33;1;3.052631295E7;723.13
4047;3198997;19/07/2013 21:08;1;1513568.64;118.68
4047;3195055;02/08/2013 20:13;1;24451.65;27.0
4047;3196990;04/08/2013 09:58;1;413966.7;6769.3
4047;3200907;12/08/2013 18:15;1;3.8729415E7;43134.17
4047;3200202;13/08/2013 23:33;1;1.471059585E7;12431.47
4047;3200020;03/09/2013 15:07;1;1.356861E7;279.55
4047;3199950;15/09/2013 20:30;1;1547685.0;1601.18
4047;3197025;23/09/2013 16:28;1;158530.05;451.78
4047;3197009;25/10/2013 18:57;1;287892.7;162.85
4047;3200848;12/11/2013 04:07;1;4.7647095E7;40682.7
4047;3192037;15/11/2013 23:02;1;1414024.8;626.33
4047;3195082;07/12/2013 23:47;1;166779.7;17.95
9761;3173169;03/01/2013 07:57;1;9.843735E7;1.996041E7
9761;3200123;06/02/2013 11:11;1;2.83985869E7;3586.73
9761;3195011;10/04/2013 11:45;1;101257.66;9.28
9761;3183117;25/04/2013 23:53;1;1.43655488E7;84824.53
9761;3199014;10/06/2013 00:55;1;9.07262E7;28900.79
9761;3200244;10/06/2013 16:18;1;1.2156815E7;1788.79
9761;3200393;15/06/2013 20:48;1;68768.96;0.01
9761;3200416;26/06/2013 06:56;1;11660.8;0.0
9761;3193084;06/07/2013 19:28;1;9.152982E7;18548.3
9761;3200580;12/07/2013 01:52;1;21621.99;0.04
9761;3200961;18/07/2013 13:43;1;1.769267585E7;79606.45
9761;3193885;23/07/2013 16:19;1;1523204.64;0.4
9761;3200874;26/07/2013 18:23;1;2.86560973E7;58820.88
9761;3199986;06/08/2013 13:13;1;2.111766785E7;5.18
9761;3200962;07/08/2013 05:29;1;1.885439E7;22740.58
9761;3200002;12/08/2013 21:27;1;2.05728563E7;2519.61
9761;3200034;02/09/2013 23:11;1;2.17367936E7;179.18
9761;3200814;20/09/2013 11:34;1;1216070.56;73.41
9761;3172547;11/11/2013 09:32;1;9.22994175E7;189136.19
9761;3181986;13/12/2013 16:54;1;9.2491643E7;813869.56
13020;3174572;01/01/2013 05:23;1;9.23664895E7;2.0226592E7
13020;3193059;22/01/2013 10:04;1;1.282036865E7;3.55
13020;3200252;27/03/2013 09:33;1;166779.7;0.03
13020;3187473;29/03/2013 18:29;1;7676570.0;274086.03
13020;3164981;23/04/2013 06:40;1;5.481258E7;53751.42
13020;3200184;01/05/2013 11:09;1;267213.72;177.03
13020;3200083;07/05/2013 20:06;1;2.04381517E7;5.6
13020;3181783;09/05/2013 14:48;1;1.9618075E7;5.38
13020;3200525;29/05/2013 05:20;1;197147.66;34.56
13020;3200491;01/06/2013 03:28;1;9723560.3;2498.69
13020;3198041;12/06/2013 03:22;1;9.0217728E7;15731.23
13020;3200848;14/06/2013 12:43;1;4.7647095E7;10692.85
13020;3200097;22/06/2013 12:51;1;1.36930829E7;65269.19
13020;3199056;22/06/2013 19:19;1;1.7200825E7;9705.5
13020;3200406;06/07/2013 02:25;1;2.19586816E7;8291.61
13020;3200783;14/07/2013 18:17;1;642415.56;38.4
13020;3198030;20/07/2013 20:22;1;5.260374E7;354066.78
13020;3200132;21/07/2013 17:28;1;2.591885E7;37570.63
13020;3198990;29/07/2013 01:03;1;1556506.5;0.69
13020;3200950;15/08/2013 12:47;1;3.097516E7;10.85
13020;3199053;21/08/2013 14:19;1;4.745239E7;19.4
13020;3200116;23/08/2013 16:15;1;5282888.65;3.07
13020;3200304;29/08/2013 05:27;1;60214.77;34.02
13020;3200894;29/08/2013 13:44;1;3.675959295E7;29.63
13020;3200062;05/10/2013 04:57;1;1.3258336E7;4.97
13020;3200881;12/10/2013 09:13;1;1.700063745E7;51695.43
13020;3200053;21/10/2013 19:07;1;2.2190945E7;1699.54
13020;3170617;22/12/2013 18:03;1;9.0917673E7;14915.25
13020;3182997;23/12/2013 11:13;1;1.17658189E7;2170.25
13635;3194547;23/01/2013 00:20;1;1177691.92;1413.98
13635;3176293;02/02/2013 10:54;1;2242887.2;0.86
13635;3200784;13/02/2013 05:55;1;747374.72;30.91
13635;3174035;16/02/2013 10:03;1;6.54191922E7;1.9376704E7
