Period;EventID;EventDate;Seq;MaxExp;Loss
14150;3194050;27/11/2013 05:02;1;9.02154445E7;6.947372002669817E7
14150;3199006;01/08/2013 22:24;1;7.36988875E7;6.947372002669817E7
14150;3200846;19/09/2013 00:40;1;7.3549133E7;6.947372002669817E7
14150;3198031;03/04/2013 16:11;1;6.5512704E7;6.3547322879999995E7
14150;3196068;05/07/2013 00:35;1;4.811428E7;4.66708516E7
14150;3166634;01/02/2013 06:24;1;4.42103E7;4.046175778555556E7
14150;3200952;08/08/2013 03:19;1;3.90516736E7;3.503245941362939E7
4047;3174572;07/01/2013 06:18;1;9.23664895E7;2.8749644188846312E7
3422;3176571;07/03/2013 02:25;1;6.10625496E7;2.8371657144584503E7
25144;3164989;23/12/2013 07:14;1;9.219515E7;2.8077734323515765E7
3422;3178141;26/04/2013 04:06;1;8.03210805E7;2.778787599302687E7
3422;3198052;04/08/2013 10:30;1;8.97932595E7;2.766069373101308E7
25144;3196069;01/09/2013 21:03;1;4.24352384E7;2.7528008044035077E7
25144;3199046;25/08/2013 08:13;1;8.97932595E7;2.7434440549237605E7
4047;3200907;12/08/2013 18:15;1;3.8729415E7;2.7354612591068164E7
25144;3200059;22/09/2013 00:19;1;4.173109E7;2.731262970858771E7
3422;3200951;08/04/2013 19:34;1;4.7451265E7;2.7269556393669166E7
4047;3200848;12/11/2013 04:07;1;4.7647095E7;2.7221945517014135E7
3422;3200868;14/07/2013 06:43;1;4.856449E7;2.7112456010346517E7
25144;3199040;02/02/2013 03:32;1;8.99259905E7;2.708419283420746E7
3422;3194050;10/04/2013 05:14;1;9.02154445E7;2.7045251630430747E7
3422;3199025;16/06/2013 07:17;1;9.0520791E7;2.700704046729629E7
3422;3200854;17/07/2013 22:18;1;3.4758895E7;2.694358874012122E7
25144;3200848;06/08/2013 08:34;1;4.7647095E7;2.6916242196679175E7
25144;3200050;15/09/2013 17:33;1;5.6696755E7;2.6862129023174886E7
25144;3200111;02/07/2013 02:25;1;4.009049E7;2.682609296586954E7
25144;3172689;28/02/2013 00:18;1;7.80148325E7;2.680282023082516E7
25144;3200864;07/06/2013 20:14;1;3.519493E7;2.677258281719197E7
13020;3174572;01/01/2013 05:23;1;9.23664895E7;2.6760251099456504E7
13020;3198030;20/07/2013 20:22;1;5.260374E7;2.623275512987836E7
13020;3164981;23/04/2013 06:40;1;5.481258E7;2.6148441995513733E7
13020;3198041;12/06/2013 03:22;1;9.0217728E7;2.6132006766824834E7
13020;3170617;22/12/2013 18:03;1;9.0917673E7;2.6116516254492044E7
13020;3200848;14/06/2013 12:43;1;4.7647095E7;2.610189093561885E7
13020;3200894;29/08/2013 13:44;1;3.675959295E7;2.6082363547051936E7
13020;3199053;21/08/2013 14:19;1;4.745239E7;2.6064365149857085E7
9761;3173169;03/01/2013 07:57;1;9.843735E7;2.5906940926181667E7
9761;3181986;13/12/2013 16:54;1;9.2491643E7;2.5446088093615763E7
13020;3200950;15/08/2013 12:47;1;3.097516E7;2.5383483103739135E7
9761;3172547;11/11/2013 09:32;1;9.22994175E7;2.5358429660911154E7
9761;3199014;10/06/2013 00:55;1;9.07262E7;2.5342084281495266E7
9761;3193084;06/07/2013 19:28;1;9.152982E7;2.5326989434636295E7
4047;3200938;07/07/2013 23:33;1;3.052631295E7;2.5157935496553566E7
3422;3200180;29/03/2013 01:58;1;2.99883187E7;2.4624525870734E7
13635;3174035;16/02/2013 10:03;1;6.54191922E7;2.4378698131190095E7
13635;3200026;23/10/2013 08:21;1;3.03493683E7;2.431912793133269E7
13635;3176533;19/02/2013 20:08;1;8.490752E7;2.429928387510886E7
13635;3199025;23/06/2013 18:52;1;9.0520791E7;2.4291864655224543E7
9761;3200874;26/07/2013 18:23;1;2.86560973E7;2.3435179033357214E7
9761;3200123;06/02/2013 11:11;1;2.83985869E7;2.321749394170584E7
13635;3200192;25/11/2013 20:30;1;2.65151E7;2.1665058208598174E7
3422;3200142;31/08/2013 09:41;1;2.639821E7;2.156371329718712E7
14150;3181647;19/11/2013 07:33;1;2.6369005E7;2.15342480172491E7
13020;3200132;21/07/2013 17:28;1;2.591885E7;2.116132074616134E7
13635;3200232;03/08/2013 20:01;1;2.560251E7;2.0897994359619986E7
25144;3195078;19/01/2013 17:24;1;2.55964E7;2.0888137147340678E7
3422;3200917;26/07/2013 19:28;1;2.2498055E7;1.835557932843454E7
14150;3200389;21/08/2013 20:40;1;2.245227265E7;1.8314247870917585E7
14150;3200086;03/10/2013 03:58;1;2.230240255E7;1.818818141948755E7
13020;3200053;21/10/2013 19:07;1;2.2190945E7;1.8093613129696492E7
