Period;EventID;EventDate;Seq;MaxExp;Loss
14150;3166634;01/02/2013 06:24;1;4.42103E7;4.42103E7
4047;3174572;07/01/2013 06:18;1;9.23664895E7;2.009693918E7
3422;3176571;07/03/2013 02:25;1;6.10625496E7;2.0069237919999998E7
25144;3164989;23/12/2013 07:14;1;9.219515E7;2.005161302E7
13020;3174572;01/01/2013 05:23;1;9.23664895E7;1.961979424E7
9761;3173169;03/01/2013 07:57;1;9.843735E7;1.90954589E7
13635;3174035;16/02/2013 10:03;1;6.54191922E7;1.835250678857143E7
3372;3164909;03/10/2013 22:50;1;9.19975115E7;6853995.430000001
9761;3181986;13/12/2013 16:54;1;9.2491643E7;760515.8888444445
13635;3200026;23/10/2013 08:21;1;3.03493683E7;565592.9292
3372;3197054;25/07/2013 06:02;1;3.3387775E7;434175.9011941032
14150;3200846;19/09/2013 00:40;1;7.3549133E7;412382.5403351351
13020;3198030;20/07/2013 20:22;1;5.260374E7;326632.125341788
13020;3187473;29/03/2013 18:29;1;7676570.0;252360.2145718147
3372;3179857;13/04/2013 20:38;1;9.24474E7;248223.87852972973
25144;3195078;19/01/2013 17:24;1;2.55964E7;239415.8797945946
3422;3178141;26/04/2013 04:06;1;8.03210805E7;199296.45288362482
14150;3196068;05/07/2013 00:35;1;4.811428E7;192556.57560810813
9761;3172547;11/11/2013 09:32;1;9.22994175E7;172991.00826187767
3422;3198052;04/08/2013 10:30;1;8.97932595E7;169338.37188648648
25144;3196069;01/09/2013 21:03;1;4.24352384E7;146740.81939189188
3372;3199977;03/02/2013 04:37;1;1.590114E7;135351.262295086
25144;3199046;25/08/2013 08:13;1;8.97932595E7;116977.16766133961
25144;3200059;22/09/2013 00:19;1;4.173109E7;105693.81468378378
14150;3199006;01/08/2013 22:24;1;7.36988875E7;98025.55307027028
9761;3183117;25/04/2013 23:53;1;1.43655488E7;77193.84930748442
3372;3165965;06/03/2013 23:14;1;8.90664E7;75337.53863453453
9761;3200961;18/07/2013 13:43;1;1.769267585E7;72374.25012162162
14150;3198031;03/04/2013 16:11;1;6.5512704E7;60985.627291985096
13020;3200097;22/06/2013 12:51;1;1.36930829E7;59289.120970270276
3422;3200951;08/04/2013 19:34;1;4.7451265E7;58122.1420320837
25144;3200885;07/05/2013 10:34;1;1.1787435E7;55379.27774189189
9761;3200874;26/07/2013 18:23;1;2.86560973E7;53373.806370515966
14150;3200086;03/10/2013 03:58;1;2.230240255E7;50357.601093481724
13020;3164981;23/04/2013 06:40;1;5.481258E7;48743.61395907336
13020;3200881;12/10/2013 09:13;1;1.700063745E7;46865.86595405406
4047;3200907;12/08/2013 18:15;1;3.8729415E7;39093.925574068664
25144;3199040;02/02/2013 03:32;1;8.99259905E7;38110.84893029872
3422;3200917;26/07/2013 19:28;1;2.2498055E7;38075.87199064449
4047;3200848;12/11/2013 04:07;1;4.7647095E7;36845.331810810814
13020;3200132;21/07/2013 17:28;1;2.591885E7;34019.3757905735
14150;3200871;19/11/2013 22:33;1;1.7126505E7;33043.657936293435
14150;3181647;19/11/2013 07:33;1;2.6369005E7;29294.925823067257
13635;3200215;31/07/2013 13:04;1;1.3539845E7;27717.96087125307
9761;3199014;10/06/2013 00:55;1;9.07262E7;26148.705763063062
3372;3200212;23/06/2013 21:39;1;1.3537685E7;26011.678220446534
9761;3200962;07/08/2013 05:29;1;1.885439E7;20568.12884680851
25144;3200923;15/05/2013 14:30;1;9567161.6;17703.99347027027
14150;3200294;30/07/2013 04:26;1;1.647595135E7;17496.74887909542
9761;3193084;06/07/2013 19:28;1;9.152982E7;16768.66581081081
13020;3198041;12/06/2013 03:22;1;9.0217728E7;14219.881464387918
13020;3170617;22/12/2013 18:03;1;9.0917673E7;13480.47116943867
4047;3200202;13/08/2013 23:33;1;1.471059585E7;11234.156517644058
4047;3200073;22/03/2013 23:45;1;2.078824E7;10903.440383783784
13020;3200848;14/06/2013 12:43;1;4.7647095E7;9660.609025798527
13020;3199056;22/06/2013 19:19;1;1.7200825E7;8767.551486486487
3422;3200868;14/07/2013 06:43;1;4.856449E7;8672.021396443814
3422;3194050;10/04/2013 05:14;1;9.02154445E7;8408.522079030756
13020;3200406;06/07/2013 02:25;1;2.19586816E7;7487.859385203849
25144;3200848;06/08/2013 08:34;1;4.7647095E7;7387.140624324325
14150;3194050;27/11/2013 05:02;1;9.02154445E7;7067.4176145325655
3422;3199025;16/06/2013 07:17;1;9.0520791E7;6355.5216198779435
4047;3196990;04/08/2013 09:58;1;413966.7;6110.752526383527
25144;3200050;15/09/2013 17:33;1;5.6696755E7;5363.295498648648
9761;3200123;06/02/2013 11:11;1;2.83985869E7;3237.228887525988
3372;3162637;30/12/2013 19:00;1;462537.1;3160.093374938575
13635;3200192;25/11/2013 20:30;1;2.65151E7;3080.8668146430014
3422;3200315;25/04/2013 08:24;1;3243508.16;2977.279119872814
14150;3200389;21/08/2013 20:40;1;2.245227265E7;2881.897872855464
3372;3199993;30/08/2013 20:06;1;3.78066867E7;2780.663977992278
3422;3200180;29/03/2013 01:58;1;2.99883187E7;2469.280227065093
9761;3200002;12/08/2013 21:27;1;2.05728563E7;2272.8698135135137
13020;3200491;01/06/2013 03:28;1;9723560.3;2253.844282747131
14150;3200701;18/07/2013 18:41;1;1.29198272E7;2251.5476250547845
3422;3200854;17/07/2013 22:18;1;3.4758895E7;2203.276797297297
13635;3198963;29/12/2013 07:39;1;1007060.08;2055.0655083926035
3372;3200325;22/11/2013 08:44;1;1.351924865E7;2052.765928220428
13020;3182997;23/12/2013 11:13;1;1.17658189E7;1956.969922037422
13635;3200198;30/07/2013 03:37;1;1.655711105E7;1781.372108005474
14150;3200840;04/11/2013 08:26;1;3952992.32;1667.837708108108
9761;3200244;10/06/2013 16:18;1;1.2156815E7;1612.7222115115117
25144;3200910;05/07/2013 00:09;1;3890542.0;1605.5669278180621
3372;3171966;01/05/2013 16:58;1;801058.96;1591.0043707912735
3422;3200142;31/08/2013 09:41;1;2.639821E7;1569.6575714285714
13020;3200053;21/10/2013 19:07;1;2.2190945E7;1531.9367151033387
4047;3199950;15/09/2013 20:30;1;1547685.0;1443.2056287869266
13635;3194547;23/01/2013 00:20;1;1177691.92;1274.4137168685927
25144;3200074;13/10/2013 16:20;1;1.0317824E7;1201.929120884521
3372;3200832;29/07/2013 02:03;1;1263231.44;1185.2555524445795
3372;3200180;23/01/2013 16:19;1;2.99883187E7;1132.8532675675674
14150;3197984;10/08/2013 18:24;1;874713.12;1111.2213856251858
14150;3200771;28/09/2013 22:13;1;413966.7;1008.115627614571
14150;3200408;22/04/2013 09:25;1;197147.66;954.1540926765475
3372;3192051;19/08/2013 13:50;1;972446.24;948.2221502587695
25144;3200379;06/06/2013 10:28;1;4880175.5;740.111259601707
4047;3200938;07/07/2013 23:33;1;3.052631295E7;651.501041891892
3372;3200825;16/07/2013 18:43;1;1397557.5;584.9075337977152
4047;3192037;15/11/2013 23:02;1;1414024.8;564.2462910645339
25144;3200799;25/07/2013 19:25;1;661992.32;542.9294117117119
25144;3200111;02/07/2013 02:25;1;4.009049E7;535.8202864864866
3422;3200871;22/06/2013 17:25;1;1.7126505E7;509.29126890553925
3422;3200795;20/07/2013 12:49;1;1012812.72;503.17541081081083
3422;3197014;29/06/2013 04:51;1;259360.26;415.05910005247966
4047;3197025;23/09/2013 16:28;1;158530.05;406.91195301455303
25144;3183998;27/11/2013 10:07;1;957179.36;340.4210884169885
25144;3200030;04/09/2013 23:22;1;6036839.05;285.0665311575727
14150;3200377;23/08/2013 23:19;1;1.29119091E7;262.9838077039656
4047;3200020;03/09/2013 15:07;1;1.356861E7;251.754503003003
25144;3200044;26/08/2013 14:36;1;1.514116095E7;211.95180520704193
13635;3176533;19/02/2013 20:08;1;8.490752E7;205.3806773955774
13635;3194042;23/07/2013 01:31;1;424351.65;199.06218860482105
14150;3178665;03/04/2013 02:38;1;736498.88;186.63002779922778
4047;3191556;20/03/2013 08:22;1;1811069.92;161.79964929442718
25144;3194211;20/09/2013 09:14;1;386947.95;161.65105931721197
9761;3200034;02/09/2013 23:11;1;2.17367936E7;161.3314822561692
13020;3200184;01/05/2013 11:09;1;267213.72;159.39134454799628
4047;3197009;25/10/2013 18:57;1;287892.7;146.620299029799
4047;3177817;22/02/2013 18:35;1;9343132.15;136.54193650939075
14150;3200330;02/09/2013 11:06;1;3136900.5;135.87221685214624
13635;3185875;25/12/2013 06:49;1;2653427.68;133.12296486486488
4047;3198997;19/07/2013 21:08;1;1513568.64;106.84142479338844
14150;3197028;05/07/2013 17:32;1;181236.68;102.68877567567567
3422;3198958;09/09/2013 05:24;1;874713.12;91.0466680290046
25144;3172689;28/02/2013 00:18;1;7.80148325E7;84.56319912816042
13635;3200057;14/06/2013 03:47;1;5665422.1;78.93522
14150;3192034;25/08/2013 18:44;1;1250182.96;76.50303204633204
9761;3200814;20/09/2013 11:34;1;1216070.56;66.07790480953393
14150;3184413;06/01/2013 20:56;1;3279461.76;63.68217060810811
3372;3182483;04/02/2013 12:47;1;545818.36;51.430668887492146
25144;3194879;22/05/2013 19:07;1;991898.0;39.28772245322246
14150;3200297;01/08/2013 20:40;1;9741330.55;37.95482704765835
3372;3194877;04/07/2013 01:41;1;1074943.76;34.88495233415233
13020;3200783;14/07/2013 18:17;1;642415.56;34.56023409876041
3372;3200101;12/07/2013 21:15;1;269346.58;31.196471641791042
13020;3200525;29/05/2013 05:20;1;197147.66;31.065600000000003
13020;3200304;29/08/2013 05:27;1;60214.77;30.557964705882355
13635;3200819;28/06/2013 09:57;1;1137901.84;29.91671605839416
13635;3200810;24/06/2013 01:37;1;1058765.44;29.841743478260874
13635;3200784;13/02/2013 05:55;1;747374.72;27.705589208633096
13020;3200894;29/08/2013 13:44;1;3.675959295E7;26.540014285714285
4047;3195055;02/08/2013 20:13;1;24451.65;24.167872340425532
13635;3199025;23/06/2013 18:52;1;9.0520791E7;23.775997183098593
25144;3200775;06/07/2013 14:23;1;693664.32;20.14886853146853
3372;3200939;22/04/2013 16:35;1;2.13834125E7;19.43
13020;3199053;21/08/2013 14:19;1;4.745239E7;17.31951724137931
25144;3200876;04/11/2013 15:31;1;1.82071731E7;17.165769863013697
3372;3200618;25/05/2013 20:20;1;21621.99;16.780526530612246
14150;3200517;25/04/2013 11:17;1;32945.87;16.50282162162162
4047;3195082;07/12/2013 23:47;1;166779.7;15.985137583892618
14150;3200044;04/12/2013 01:21;1;1.514116095E7;15.0944
14150;3200240;16/08/2013 09:00;1;197147.66;14.89862582781457
14150;3200952;08/08/2013 03:19;1;3.90516736E7;13.627563157894736
13020;3200950;15/08/2013 12:47;1;3.097516E7;9.639480392156862
25144;3200864;07/06/2013 20:14;1;3.519493E7;9.154476623376624
9761;3195011;10/04/2013 11:45;1;101257.66;8.235251612903225
3372;3193564;21/09/2013 14:51;1;1482949.12;7.592061538461539
14150;3198999;09/06/2013 00:52;1;1706078.88;7.463766878980892
3422;3200902;28/06/2013 05:13;1;1.732155775E7;7.016718987341772
3372;3171518;04/02/2013 00:22;1;2.277657E7;6.82698679245283
13635;3200232;03/08/2013 20:01;1;2.560251E7;6.301200000000001
13020;3200083;07/05/2013 20:06;1;2.04381517E7;4.953391304347826
13020;3181783;09/05/2013 14:48;1;1.9618075E7;4.756318518518519
14150;3181654;26/04/2013 13:13;1;1.3553835E7;4.683184049079754
9761;3199986;06/08/2013 13:13;1;2.111766785E7;4.5748243902439025
13020;3200062;05/10/2013 04:57;1;1.3258336E7;4.387154545454545
3422;3200035;22/04/2013 17:06;1;1.755502335E7;3.908540963855421
14150;3200327;24/03/2013 18:56;1;1.530168575E7;3.4833323353293415
14150;3200779;26/06/2013 20:07;1;1.25457293E7;3.3758714285714286
14150;3199985;26/05/2013 19:44;1;1.431101185E7;3.365442603550296
13020;3193059;22/01/2013 10:04;1;1.282036865E7;3.1260882352941177
13020;3200116;23/08/2013 16:15;1;5282888.65;2.702138596491228
25144;3200427;12/10/2013 04:24;1;9046772.5;2.217013953488372
13635;3195048;20/03/2013 04:59;1;124398.23;2.163235838150289
25144;3200394;23/10/2013 12:56;1;7898677.1;1.819458620689655
14150;3200219;25/07/2013 19:44;1;5172144.0;1.8010714285714284
