Period;EventID;EventDate;Seq;MaxExp;Loss
14150;3194050;27/11/2013 05:02;1;9.02154445E7;5.013567424607085E7
14150;3199006;01/08/2013 22:24;1;7.36988875E7;5.013567424607085E7
14150;3200846;19/09/2013 00:40;1;7.3549133E7;5.013567424607085E7
14150;3198031;03/04/2013 16:11;1;6.5512704E7;4.58588928E7
14150;3196068;05/07/2013 00:35;1;4.811428E7;3.3679996E7
14150;3166634;01/02/2013 06:24;1;4.42103E7;2.9606164233333334E7
14150;3200952;08/08/2013 03:19;1;3.90516736E7;2.58912595968E7
4047;3174572;07/01/2013 06:18;1;9.23664895E7;2.140930950233236E7
3422;3176571;07/03/2013 02:25;1;6.10625496E7;2.1253441142792195E7
25144;3164989;23/12/2013 07:14;1;9.219515E7;2.113377852307638E7
13020;3174572;01/01/2013 05:23;1;9.23664895E7;2.061309684316502E7
9761;3173169;03/01/2013 07:57;1;9.843735E7;2.0009043972339664E7
3422;3178141;26/04/2013 04:06;1;8.03210805E7;2.098212575975552E7
3422;3198052;04/08/2013 10:30;1;8.97932595E7;2.0941595078434337E7
25144;3196069;01/09/2013 21:03;1;4.24352384E7;2.0888108328097288E7
25144;3199046;25/08/2013 08:13;1;8.97932595E7;2.08573995537249E7
25144;3200059;22/09/2013 00:19;1;4.173109E7;2.0830303576337505E7
3422;3200951;08/04/2013 19:34;1;4.7451265E7;2.0824506443506483E7
4047;3200907;12/08/2013 18:15;1;3.8729415E7;2.083165145864938E7
4047;3200848;12/11/2013 04:07;1;4.7647095E7;2.081221260131849E7
25144;3199040;02/02/2013 03:32;1;8.99259905E7;2.0747725359537806E7
3422;3200868;14/07/2013 06:43;1;4.856449E7;2.074999549400694E7
3422;3194050;10/04/2013 05:14;1;9.02154445E7;2.0735417264757026E7
3422;3199025;16/06/2013 07:17;1;9.0520791E7;2.0722053887944605E7
4047;3200938;07/07/2013 23:33;1;3.052631295E7;1.945681184594189E7
25144;3200848;06/08/2013 08:34;1;4.7647095E7;2.0680233547730364E7
3422;3200854;17/07/2013 22:18;1;3.4758895E7;2.068790303609065E7
13020;3198030;20/07/2013 20:22;1;5.260374E7;2.0215065690682817E7
25144;3200050;15/09/2013 17:33;1;5.6696755E7;2.065090951915196E7
9761;3181986;13/12/2013 16:54;1;9.2491643E7;1.9658110725236367E7
25144;3200111;02/07/2013 02:25;1;4.009049E7;2.063451328811887E7
25144;3172689;28/02/2013 00:18;1;7.80148325E7;2.0627083745932E7
3422;3200180;29/03/2013 01:58;1;2.99883187E7;1.9047887433336362E7
25144;3200864;07/06/2013 20:14;1;3.519493E7;2.0613535757238302E7
13635;3174035;16/02/2013 10:03;1;6.54191922E7;1.886114552218929E7
13020;3164981;23/04/2013 06:40;1;5.481258E7;2.0157832453071E7
13020;3198041;12/06/2013 03:22;1;9.0217728E7;2.0152418498161774E7
13020;3170617;22/12/2013 18:03;1;9.0917673E7;2.0147289488247767E7
13020;3200848;14/06/2013 12:43;1;4.7647095E7;2.01424235044832E7
9761;3172547;11/11/2013 09:32;1;9.22994175E7;1.9599621850719154E7
13020;3200894;29/08/2013 13:44;1;3.675959295E7;2.0133403632139124E7
9761;3199014;10/06/2013 00:55;1;9.07262E7;1.959126629721669E7
13020;3199053;21/08/2013 14:19;1;4.745239E7;2.0125222817687523E7
9761;3193084;06/07/2013 19:28;1;9.152982E7;1.9583670339487184E7
13635;3200026;23/10/2013 08:21;1;3.03493683E7;1.881831639283333E7
13020;3200950;15/08/2013 12:47;1;3.097516E7;1.961448319149236E7
9761;3200874;26/07/2013 18:23;1;2.86560973E7;1.8142967816087235E7
9761;3200123;06/02/2013 11:11;1;2.83985869E7;1.7977073037075672E7
13635;3176533;19/02/2013 20:08;1;8.490752E7;1.8806079498731624E7
13635;3199025;23/06/2013 18:52;1;9.0520791E7;1.8803326197558746E7
13635;3200192;25/11/2013 20:30;1;2.65151E7;1.6777397909220986E7
3422;3200142;31/08/2013 09:41;1;2.639821E7;1.6701176056777544E7
14150;3181647;19/11/2013 07:33;1;2.6369005E7;1.6680526966575725E7
13020;3200132;21/07/2013 17:28;1;2.591885E7;1.639371154219219E7
13635;3200232;03/08/2013 20:01;1;2.560251E7;1.6191668959385747E7
25144;3195078;19/01/2013 17:24;1;2.55964E7;1.618591812972973E7
3422;3200917;26/07/2013 19:28;1;2.2498055E7;1.422507533586771E7
14150;3200389;21/08/2013 20:40;1;2.245227265E7;1.4194586236413747E7
14150;3200086;03/10/2013 03:58;1;2.230240255E7;1.4098357010596039E7
13020;3200053;21/10/2013 19:07;1;2.2190945E7;1.4026476505810808E7
13020;3200406;06/07/2013 02:25;1;2.19586816E7;1.3878305124460435E7
9761;3200034;02/09/2013 23:11;1;2.17367936E7;1.3736762858339323E7
9761;3199986;06/08/2013 13:13;1;2.111766785E7;1.3344273339340994E7
4047;3200073;22/03/2013 23:45;1;2.078824E7;1.3134937075135136E7
9761;3200002;12/08/2013 21:27;1;2.05728563E7;1.299772530948711E7
13020;3200083;07/05/2013 20:06;1;2.04381517E7;1.2911538699383045E7
