Period;EventID;EventDate;Seq;MaxExp;Loss
14150;3194050;27/11/2013 05:02;1;8.750898116499999E7;8.750898116499999E7
14150;3199006;01/08/2013 22:24;1;7.1487920875E7;8.750898116499999E7
14150;3200846;19/09/2013 00:40;1;7.134265901E7;8.750898116499999E7
14150;3198031;03/04/2013 16:11;1;6.3547322879999995E7;8.750898116499999E7
4047;3174572;07/01/2013 06:18;1;8.9595494815E7;4.803117417392544E7
3422;3176571;07/03/2013 02:25;1;1628335.585999997;8.192695526233468E11
25144;3164989;23/12/2013 07:14;1;1580489.2157142828;6.98277294466544E11
3422;3178141;26/04/2013 04:06;1;803211.7349999986;6.1445216446751E11
3422;3198052;04/08/2013 10:30;1;399082.0833333326;5.461797017488977E11
25144;3199046;25/08/2013 08:13;1;8.350773133500001E7;4.545785186977202E7
14150;3196068;05/07/2013 00:35;1;1301569.014987716;8.201404045454545E11
3422;3200868;14/07/2013 06:43;1;1194424.8432432443;4.096347763116734E11
25144;3199040;02/02/2013 03:32;1;2024737.8586590453;3.75995466251216E11
3422;3194050;10/04/2013 05:14;1;1870491.0041119708;3.5111552255286285E11
3422;3199025;16/06/2013 07:17;1;1737021.4840540558;3.277078210493387E11
25144;3200050;15/09/2013 17:33;1;1011348.4216216225;3.0549631632911304E11
25144;3172689;28/02/2013 00:18;1;1298594.3757949134;2.875259447803417E11
13020;3174572;01/01/2013 05:23;1;1439586.7273423437;2.6486193483400134E11
4047;3200848;12/11/2013 04:07;1;697424.2393314374;2.6061407582162476E11
25144;3200848;06/08/2013 08:34;1;656758.155405406;2.443970530632904E11
3422;3200951;08/04/2013 19:34;1;617416.973552124;2.3407701503524188E11
13020;3198030;20/07/2013 20:22;1;647530.9673218678;2.1670521940963745E11
13020;3164981;23/04/2013 06:40;1;639588.3493537022;2.0728325334834888E11
13020;3198041;12/06/2013 03:22;1;999710.85891892;1.98646451125501E11
13020;3170617;22/12/2013 18:03;1;958322.3181081091;1.9070059308048093E11
13020;3200848;14/06/2013 12:43;1;478453.01819126867;1.8336595488507785E11
13020;3199053;21/08/2013 14:19;1;454574.8462462467;1.7657462322266757E11
9761;3173169;03/01/2013 07:57;1;900759.6625482634;1.6527878668988736E11
9761;3181986;13/12/2013 16:54;1;809410.5251351359;1.595795181833395E11
9761;3172547;11/11/2013 09:32;1;773320.3439189197;1.5426020091056155E11
9761;3199014;10/06/2013 00:55;1;728499.8555361821;1.4928406539731763E11
9761;3193084;06/07/2013 19:28;1;705027.8918918925;1.4461893835365143E11
14150;3166634;01/02/2013 06:24;1;326961.5953316957;2.7338013484848486E11
13635;3174035;16/02/2013 10:03;1;464903.58542766335;1.2830333865724562E11
13635;3176533;19/02/2013 20:08;1;580256.9247104252;1.2463752898132434E11
13635;3199025;23/06/2013 18:52;1;595317.8137837843;1.2117537539850977E11
25144;3196069;01/09/2013 21:03;1;268747.0774492332;1.3210651516934616E11
25144;3200059;22/09/2013 00:19;1;254661.46344239;1.2863002792804759E11
25144;3200111;02/07/2013 02:25;1;235876.3401247403;1.2533182208373866E11
14150;3200952;08/08/2013 03:19;1;221645.53394594617;2.2553861125E11
4047;3200907;12/08/2013 18:15;1;212157.41855636143;1.2077237660026512E11
13020;3200894;29/08/2013 13:44;1;194443.5345231662;1.1351225778600056E11
25144;3200864;07/06/2013 20:14;1;179846.77108736662;1.1367304793641415E11
3422;3200854;17/07/2013 22:18;1;171660.30773955784;1.1171857535772908E11
13020;3200950;15/08/2013 12:47;1;147900.31261261273;1.0594477393360054E11
4047;3200938;07/07/2013 23:33;1;140974.3546339602;1.0764494436110588E11
13635;3200026;23/10/2013 08:21;1;135604.46048936178;9.281518115630534E10
3422;3200180;29/03/2013 01:58;1;129680.11600000013;1.0240869407791835E11
9761;3200874;26/07/2013 18:23;1;119967.6835118589;9.444502096564993E10
9761;3200123;06/02/2013 11:11;1;115130.30635135145;9.255612054633691E10
13635;3200192;25/11/2013 20:30;1;104122.1988871225;8.553555910483041E10
3422;3200142;31/08/2013 09:41;1;100434.83825363834;9.453110222577077E10
14150;3181647;19/11/2013 07:33;1;97220.63796532388;1.7021781981132077E11
13020;3200132;21/07/2013 17:28;1;92623.81741741751;8.828731161133379E10
13635;3200232;03/08/2013 20:01;1;88697.55626535635;7.931479116993367E10
25144;3195078;19/01/2013 17:24;1;85981.0853281854;8.728466180831801E10
3422;3200917;26/07/2013 19:28;1;73287.59409672837;8.623890027614175E10
14150;3200389;21/08/2013 20:40;1;70935.85273392363;1.555438698275862E11
14150;3200086;03/10/2013 03:58;1;68348.62013719657;1.5290753305084744E11
13020;3200053;21/10/2013 19:07;1;65973.97972972979;7.945858045020041E10
13020;3200406;06/07/2013 02:25;1;63337.63780062035;7.815598077068892E10
9761;3200034;02/09/2013 23:11;1;60833.60048474288;7.464203269865881E10
9761;3199986;06/08/2013 13:13;1;57347.46262998719;7.345723852883882E10
4047;3200073;22/03/2013 23:45;1;54780.72162162168;7.736980375954485E10
9761;3200002;12/08/2013 21:27;1;52609.24355301461;7.119701580487456E10
13020;3200083;07/05/2013 20:06;1;50719.65483292388;7.223507313654582E10
13020;3181783;09/05/2013 14:48;1;47245.71958450992;7.115693771659738E10
9761;3200962;07/08/2013 05:29;1;44064.418759936445;6.805597098995361E10
25144;3200876;04/11/2013 15:31;1;41293.313728554676;7.083972552559142E10
9761;3200961;18/07/2013 13:43;1;38938.44916795371;6.611151467595495E10
3422;3200035;22/04/2013 17:06;1;37489.92968918924;6.923404670056451E10
3422;3200902;28/06/2013 05:13;1;35892.41605855859;6.827246271861223E10
13020;3199056;22/06/2013 19:19;1;34580.86288411702;6.5308422287835945E10
14150;3200871;19/11/2013 22:33;1;33403.21435354275;1.2191276283783783E11
3422;3200871;22/06/2013 17:25;1;32402.395945945973;6.554156420986773E10
13020;3200881;12/10/2013 09:13;1;31196.948805832184;6.273045825015822E10
13635;3200198;30/07/2013 03:37;1;29465.46757581611;5.6653422264238335E10
14150;3200294;30/07/2013 04:26;1;28431.335801455323;1.1566082628205127E11
3372;3164909;03/10/2013 22:50;1;153907.10295415684;2.04876602200066E10
3372;3197054;25/07/2013 06:02;1;54143.237837837885;2.0231564467256516E10
3372;3179857;13/04/2013 20:38;1;145288.60570570582;1.998179206642619E10
3372;3165965;06/03/2013 23:14;1;135626.07073170744;1.973811167537221E10
3372;3199993;30/08/2013 20:06;1;55769.148372191514;1.9500303100970135E10
3372;3200180;23/01/2013 16:19;1;42841.355285714315;1.9268156635482395E10
3372;3200939;22/04/2013 16:35;1;29577.321104928484;1.904147243977084E10
3372;3171518;04/02/2013 00:22;1;30493.730986800787;1.8820059969540947E10
3372;3199977;03/02/2013 04:37;1;20599.767287977655;1.860373744115542E10
14150;3200327;24/03/2013 18:56;1;19175.002536855052;1.0251755056818181E11
25144;3200044;26/08/2013 14:36;1;18346.855721378703;5.49206860816383E10
14150;3200044;04/12/2013 01:21;1;17733.791202702716;1.0023938277777777E11
4047;3200202;13/08/2013 23:33;1;16646.985592070112;5.441392791880077E10
9761;3183117;25/04/2013 23:53;1;15700.030886016471;5.0302239427357025E10
14150;3199985;26/05/2013 19:44;1;15097.95696469051;9.700585430107527E10
13020;3200097;22/06/2013 12:51;1;13938.08041000576;5.0718242840553444E10
4047;3200020;03/09/2013 15:07;1;13318.596870554773;5.212281516432494E10
14150;3181654;26/04/2013 13:13;1;12822.095270270285;9.397442135416667E10
13635;3200215;31/07/2013 13:04;1;12337.287057676247;4.497230427161188E10
3372;3200212;23/06/2013 21:39;1;11873.442277992288;1.6515562830413483E10
3372;3200325;22/11/2013 08:44;1;11405.343988124498;1.634873896343961E10
13020;3200062;05/10/2013 04:57;1;10750.90216216217;4.767514827012025E10
14150;3200701;18/07/2013 18:41;1;10061.562871822327;8.932222227722774E10
14150;3200377;23/08/2013 23:19;1;9648.90838950716;8.844651421568628E10
13020;3193059;22/01/2013 10:04;1;9184.737946601948;4.628655171856334E10
